ts,open,high,low,close,volume
2024-06-01T00:00:00Z,68000,68500,67500,68200,1200
2024-06-01T01:00:00Z,68200,68600,68000,68450,900
2024-06-01T02:00:00Z,68450,69000,68200,68800,1100
2024-06-01T03:00:00Z,68800,69200,68500,69000,1000
2024-06-01T04:00:00Z,69000,69300,68800,69150,950
2024-06-01T05:00:00Z,69150,69400,69000,69350,980
2024-06-01T06:00:00Z,69350,69600,69200,69500,1000
2024-06-01T07:00:00Z,69500,69750,69400,69650,1010
2024-06-01T08:00:00Z,69650,69800,69500,69700,1050
2024-06-01T09:00:00Z,69700,69900,69600,69850,950
